startTime :2015-01-20 01:30:45 || endTime :2015-01-20 02:30:45 || tweets/hour :12
startTime :2015-01-20 02:30:45 || endTime :2015-01-20 03:30:45 || tweets/hour :7
startTime :2015-01-20 03:30:45 || endTime :2015-01-20 04:30:45 || tweets/hour :11
startTime :2015-01-20 04:30:45 || endTime :2015-01-20 05:30:45 || tweets/hour :4
startTime :2015-01-20 05:30:45 || endTime :2015-01-20 06:30:45 || tweets/hour :9
startTime :2015-01-20 06:30:45 || endTime :2015-01-20 07:30:45 || tweets/hour :6
startTime :2015-01-20 07:30:45 || endTime :2015-01-20 08:30:45 || tweets/hour :0
startTime :2015-01-20 08:30:45 || endTime :2015-01-20 09:30:45 || tweets/hour :3
startTime :2015-01-20 09:30:45 || endTime :2015-01-20 10:30:45 || tweets/hour :3
startTime :2015-01-20 10:30:45 || endTime :2015-01-20 11:30:45 || tweets/hour :1
startTime :2015-01-20 11:30:45 || endTime :2015-01-20 12:30:45 || tweets/hour :0
startTime :2015-01-20 12:30:45 || endTime :2015-01-20 13:30:45 || tweets/hour :4
startTime :2015-01-20 13:30:45 || endTime :2015-01-20 14:30:45 || tweets/hour :4
startTime :2015-01-20 14:30:45 || endTime :2015-01-20 15:30:45 || tweets/hour :9
startTime :2015-01-20 15:30:45 || endTime :2015-01-20 16:30:45 || tweets/hour :10
startTime :2015-01-20 16:30:45 || endTime :2015-01-20 17:30:45 || tweets/hour :9
startTime :2015-01-20 17:30:45 || endTime :2015-01-20 18:30:45 || tweets/hour :11
startTime :2015-01-20 18:30:45 || endTime :2015-01-20 19:30:45 || tweets/hour :6
startTime :2015-01-20 19:30:45 || endTime :2015-01-20 20:30:45 || tweets/hour :3
startTime :2015-01-20 20:30:45 || endTime :2015-01-20 21:30:45 || tweets/hour :0
startTime :2015-01-20 21:30:45 || endTime :2015-01-20 22:30:45 || tweets/hour :5
startTime :2015-01-20 22:30:45 || endTime :2015-01-20 23:30:45 || tweets/hour :14
startTime :2015-01-20 23:30:45 || endTime :2015-01-21 00:30:45 || tweets/hour :6
startTime :2015-01-21 00:30:45 || endTime :2015-01-21 01:30:45 || tweets/hour :8
startTime :2015-01-21 01:30:45 || endTime :2015-01-21 02:30:45 || tweets/hour :10
startTime :2015-01-21 02:30:45 || endTime :2015-01-21 03:30:45 || tweets/hour :6
startTime :2015-01-21 03:30:45 || endTime :2015-01-21 04:30:45 || tweets/hour :21
