startTime :2015-01-04 15:27:13 || endTime :2015-01-04 16:27:13 || tweets/hour :0
startTime :2015-01-04 16:27:13 || endTime :2015-01-04 17:27:13 || tweets/hour :0
startTime :2015-01-04 17:27:13 || endTime :2015-01-04 18:27:13 || tweets/hour :0
startTime :2015-01-04 18:27:13 || endTime :2015-01-04 19:27:13 || tweets/hour :0
startTime :2015-01-04 19:27:13 || endTime :2015-01-04 20:27:13 || tweets/hour :0
startTime :2015-01-04 20:27:13 || endTime :2015-01-04 21:27:13 || tweets/hour :0
startTime :2015-01-04 21:27:13 || endTime :2015-01-04 22:27:13 || tweets/hour :0
startTime :2015-01-04 22:27:13 || endTime :2015-01-04 23:27:13 || tweets/hour :0
startTime :2015-01-04 23:27:13 || endTime :2015-01-05 00:27:13 || tweets/hour :0
startTime :2015-01-05 00:27:13 || endTime :2015-01-05 01:27:13 || tweets/hour :0
startTime :2015-01-05 01:27:13 || endTime :2015-01-05 02:27:13 || tweets/hour :0
startTime :2015-01-05 02:27:13 || endTime :2015-01-05 03:27:13 || tweets/hour :0
startTime :2015-01-05 03:27:13 || endTime :2015-01-05 04:27:13 || tweets/hour :0
startTime :2015-01-05 04:27:13 || endTime :2015-01-05 05:27:13 || tweets/hour :0
startTime :2015-01-05 05:27:13 || endTime :2015-01-05 06:27:13 || tweets/hour :0
startTime :2015-01-05 06:27:13 || endTime :2015-01-05 07:27:13 || tweets/hour :0
startTime :2015-01-05 07:27:13 || endTime :2015-01-05 08:27:13 || tweets/hour :0
startTime :2015-01-05 08:27:13 || endTime :2015-01-05 09:27:13 || tweets/hour :0
startTime :2015-01-05 09:27:13 || endTime :2015-01-05 10:27:13 || tweets/hour :0
startTime :2015-01-05 10:27:13 || endTime :2015-01-05 11:27:13 || tweets/hour :0
startTime :2015-01-05 11:27:13 || endTime :2015-01-05 12:27:13 || tweets/hour :0
startTime :2015-01-05 12:27:13 || endTime :2015-01-05 13:27:13 || tweets/hour :0
startTime :2015-01-05 13:27:13 || endTime :2015-01-05 14:27:13 || tweets/hour :0
startTime :2015-01-05 14:27:13 || endTime :2015-01-05 15:27:13 || tweets/hour :0
startTime :2015-01-05 15:27:13 || endTime :2015-01-05 16:27:13 || tweets/hour :0
startTime :2015-01-05 16:27:13 || endTime :2015-01-05 17:27:13 || tweets/hour :0
startTime :2015-01-05 17:27:13 || endTime :2015-01-05 18:27:13 || tweets/hour :0
startTime :2015-01-05 18:27:13 || endTime :2015-01-05 19:27:13 || tweets/hour :0
startTime :2015-01-05 19:27:13 || endTime :2015-01-05 20:27:13 || tweets/hour :0
startTime :2015-01-05 20:27:13 || endTime :2015-01-05 21:27:13 || tweets/hour :0
startTime :2015-01-05 21:27:13 || endTime :2015-01-05 22:27:13 || tweets/hour :0
startTime :2015-01-05 22:27:13 || endTime :2015-01-05 23:27:13 || tweets/hour :0
startTime :2015-01-05 23:27:13 || endTime :2015-01-06 00:27:13 || tweets/hour :0
startTime :2015-01-06 00:27:13 || endTime :2015-01-06 01:27:13 || tweets/hour :0
startTime :2015-01-06 01:27:13 || endTime :2015-01-06 02:27:13 || tweets/hour :0
startTime :2015-01-06 02:27:13 || endTime :2015-01-06 03:27:13 || tweets/hour :0
startTime :2015-01-06 03:27:13 || endTime :2015-01-06 04:27:13 || tweets/hour :0
startTime :2015-01-06 04:27:13 || endTime :2015-01-06 05:27:13 || tweets/hour :0
startTime :2015-01-06 05:27:13 || endTime :2015-01-06 06:27:13 || tweets/hour :0
startTime :2015-01-06 06:27:13 || endTime :2015-01-06 07:27:13 || tweets/hour :0
startTime :2015-01-06 07:27:13 || endTime :2015-01-06 08:27:13 || tweets/hour :0
startTime :2015-01-06 08:27:13 || endTime :2015-01-06 09:27:13 || tweets/hour :0
startTime :2015-01-06 09:27:13 || endTime :2015-01-06 10:27:13 || tweets/hour :0
startTime :2015-01-06 10:27:13 || endTime :2015-01-06 11:27:13 || tweets/hour :0
startTime :2015-01-06 11:27:13 || endTime :2015-01-06 12:27:13 || tweets/hour :0
startTime :2015-01-06 12:27:13 || endTime :2015-01-06 13:27:13 || tweets/hour :0
startTime :2015-01-06 13:27:13 || endTime :2015-01-06 14:27:13 || tweets/hour :0
startTime :2015-01-06 14:27:13 || endTime :2015-01-06 15:27:13 || tweets/hour :0
startTime :2015-01-06 15:27:13 || endTime :2015-01-06 16:27:13 || tweets/hour :0
startTime :2015-01-06 16:27:13 || endTime :2015-01-06 17:27:13 || tweets/hour :0
startTime :2015-01-06 17:27:13 || endTime :2015-01-06 18:27:13 || tweets/hour :0
startTime :2015-01-06 18:27:13 || endTime :2015-01-06 19:27:13 || tweets/hour :0
startTime :2015-01-06 19:27:13 || endTime :2015-01-06 20:27:13 || tweets/hour :0
startTime :2015-01-06 20:27:13 || endTime :2015-01-06 21:27:13 || tweets/hour :0
startTime :2015-01-06 21:27:13 || endTime :2015-01-06 22:27:13 || tweets/hour :0
startTime :2015-01-06 22:27:13 || endTime :2015-01-06 23:27:13 || tweets/hour :0
startTime :2015-01-06 23:27:13 || endTime :2015-01-07 00:27:13 || tweets/hour :0
startTime :2015-01-07 00:27:13 || endTime :2015-01-07 01:27:13 || tweets/hour :0
startTime :2015-01-07 01:27:13 || endTime :2015-01-07 02:27:13 || tweets/hour :0
startTime :2015-01-07 02:27:13 || endTime :2015-01-07 03:27:13 || tweets/hour :0
startTime :2015-01-07 03:27:13 || endTime :2015-01-07 04:27:13 || tweets/hour :0
startTime :2015-01-07 04:27:13 || endTime :2015-01-07 05:27:13 || tweets/hour :0
startTime :2015-01-07 05:27:13 || endTime :2015-01-07 06:27:13 || tweets/hour :0
startTime :2015-01-07 06:27:13 || endTime :2015-01-07 07:27:13 || tweets/hour :0
startTime :2015-01-07 07:27:13 || endTime :2015-01-07 08:27:13 || tweets/hour :0
startTime :2015-01-07 08:27:13 || endTime :2015-01-07 09:27:13 || tweets/hour :0
startTime :2015-01-07 09:27:13 || endTime :2015-01-07 10:27:13 || tweets/hour :0
startTime :2015-01-07 10:27:13 || endTime :2015-01-07 11:27:13 || tweets/hour :0
startTime :2015-01-07 11:27:13 || endTime :2015-01-07 12:27:13 || tweets/hour :0
startTime :2015-01-07 12:27:13 || endTime :2015-01-07 13:27:13 || tweets/hour :0
startTime :2015-01-07 13:27:13 || endTime :2015-01-07 14:27:13 || tweets/hour :0
startTime :2015-01-07 14:27:13 || endTime :2015-01-07 15:27:13 || tweets/hour :0
startTime :2015-01-07 15:27:13 || endTime :2015-01-07 16:27:13 || tweets/hour :0
startTime :2015-01-07 16:27:13 || endTime :2015-01-07 17:27:13 || tweets/hour :0
startTime :2015-01-07 17:27:13 || endTime :2015-01-07 18:27:13 || tweets/hour :0
startTime :2015-01-07 18:27:13 || endTime :2015-01-07 19:27:13 || tweets/hour :0
startTime :2015-01-07 19:27:13 || endTime :2015-01-07 20:27:13 || tweets/hour :1
startTime :2015-01-07 20:27:13 || endTime :2015-01-07 21:27:13 || tweets/hour :0
