startTime :2015-01-10 08:14:35 || endTime :2015-01-10 09:14:35 || tweets/hour :0
startTime :2015-01-10 09:14:35 || endTime :2015-01-10 10:14:35 || tweets/hour :0
startTime :2015-01-10 10:14:35 || endTime :2015-01-10 11:14:35 || tweets/hour :0
startTime :2015-01-10 11:14:35 || endTime :2015-01-10 12:14:35 || tweets/hour :0
startTime :2015-01-10 12:14:35 || endTime :2015-01-10 13:14:35 || tweets/hour :0
startTime :2015-01-10 13:14:35 || endTime :2015-01-10 14:14:35 || tweets/hour :0
startTime :2015-01-10 14:14:35 || endTime :2015-01-10 15:14:35 || tweets/hour :0
startTime :2015-01-10 15:14:35 || endTime :2015-01-10 16:14:35 || tweets/hour :0
startTime :2015-01-10 16:14:35 || endTime :2015-01-10 17:14:35 || tweets/hour :1
startTime :2015-01-10 17:14:35 || endTime :2015-01-10 18:14:35 || tweets/hour :1
startTime :2015-01-10 18:14:35 || endTime :2015-01-10 19:14:35 || tweets/hour :0
startTime :2015-01-10 19:14:35 || endTime :2015-01-10 20:14:35 || tweets/hour :1
startTime :2015-01-10 20:14:35 || endTime :2015-01-10 21:14:35 || tweets/hour :0
