startTime :2015-01-09 23:21:19 || endTime :2015-01-10 00:21:19 || tweets/hour :0
startTime :2015-01-10 00:21:19 || endTime :2015-01-10 01:21:19 || tweets/hour :0
startTime :2015-01-10 01:21:19 || endTime :2015-01-10 02:21:19 || tweets/hour :0
startTime :2015-01-10 02:21:19 || endTime :2015-01-10 03:21:19 || tweets/hour :0
startTime :2015-01-10 03:21:19 || endTime :2015-01-10 04:21:19 || tweets/hour :0
startTime :2015-01-10 04:21:19 || endTime :2015-01-10 05:21:19 || tweets/hour :0
startTime :2015-01-10 05:21:19 || endTime :2015-01-10 06:21:19 || tweets/hour :0
startTime :2015-01-10 06:21:19 || endTime :2015-01-10 07:21:19 || tweets/hour :0
startTime :2015-01-10 07:21:19 || endTime :2015-01-10 08:21:19 || tweets/hour :0
startTime :2015-01-10 08:21:19 || endTime :2015-01-10 09:21:19 || tweets/hour :1
startTime :2015-01-10 09:21:19 || endTime :2015-01-10 10:21:19 || tweets/hour :2
startTime :2015-01-10 10:21:19 || endTime :2015-01-10 11:21:19 || tweets/hour :0
startTime :2015-01-10 11:21:19 || endTime :2015-01-10 12:21:19 || tweets/hour :1
startTime :2015-01-10 12:21:19 || endTime :2015-01-10 13:21:19 || tweets/hour :1
startTime :2015-01-10 13:21:19 || endTime :2015-01-10 14:21:19 || tweets/hour :0
startTime :2015-01-10 14:21:19 || endTime :2015-01-10 15:21:19 || tweets/hour :1
startTime :2015-01-10 15:21:19 || endTime :2015-01-10 16:21:19 || tweets/hour :1
startTime :2015-01-10 16:21:19 || endTime :2015-01-10 17:21:19 || tweets/hour :1
startTime :2015-01-10 17:21:19 || endTime :2015-01-10 18:21:19 || tweets/hour :1
startTime :2015-01-10 18:21:19 || endTime :2015-01-10 19:21:19 || tweets/hour :4
startTime :2015-01-10 19:21:19 || endTime :2015-01-10 20:21:19 || tweets/hour :4
startTime :2015-01-10 20:21:19 || endTime :2015-01-10 21:21:19 || tweets/hour :1
